GENERIC,SAMPLEID,MISSION,STATION,LANDMARK,BAGNUMBER,ORIGINALWEIGHT,SAMPLETYPE,SAMPLESUBTYPE,PRISTINITY,PRISTINITYDATE,HASTHINSECTION,HASDISPLAYSAMPLE,DISPLAYSAMPLENUMBER,GENERICDESCRIPTION
10002,3,Apollo 11,,,ALSRC 1003,5629,Soil,Unsieved,93.734,2015-03-01 0:00:00,TRUE,,,"Fines, Unsieved"
10003,4,Apollo 11,,,ALSRC 1004,213,Basalt,Ilmenite,65.562,2015-01-01 0:00:00,TRUE,,,"low K, medium-grained, ophitic, few vugs, cristobalite"
10004,5,Apollo 11,LM,,ALSRC 1004,44.8,Core,Unsieved,71.757,2014-12-01 0:00:00,TRUE,,,"Core, Unsieved"
10005,6,Apollo 11,LM,,ALSRC 1004,53.4,Core,Unsieved,40.305,2014-12-01 0:00:00,TRUE,,,"Core, Unsieved"
10009,7,Apollo 11,,,ALSRC 1004,112,Breccia,Regolith,97.274,2013-08-01 0:00:00,TRUE,,,"tough, few clasts, hackly surfaces"
10010,8,Apollo 11,,,Cont.  Bag,491,Soil,Unsieved,91.03,2014-01-01 0:00:00,TRUE,,,"Fines, Unsieved"
10015,9,Apollo 11,,,ALSRC 1004,0.395,Soil,Unsieved,35.44,2007-08-01 0:00:00,FALSE,,,"Fines, Unsieved"
10017,10,Apollo 11,,,ALSRC 1004,973,Basalt,Ilmenite,43.711,2015-03-01 0:00:00,TRUE,TRUE,1001737,"high K, fine-grained, olivine, few vesicles and vugs"
10018,11,Apollo 11,,,ALSRC 1004,213,Breccia,Regolith,97.714,2014-08-01 0:00:00,TRUE,,,"coherent, few clasts, highly variable"
10019,12,Apollo 11,,,ALSRC 1004,297,Breccia,Regolith,81.549,2015-03-01 0:00:00,TRUE,,,"high vesicular, fine-grained, few clasts, variable types"
10020,13,Apollo 11,,,ALSRC 1004,425,Basalt,Ilmenite,27.881,2015-02-01 0:00:00,TRUE,TRUE,1002057,"low K, fine-grained, subophitic to intergranular, moderate vesicles & vugs, cristobalite, large olivine"
